participant,task_id,requirement_ids,duration_ms,status,objective_json,comprehension_json
P02,generation-boundary,R4|R7|R10,70687,critical,"{""completed"": true, ""duration_ms"": 70687, ""generated_after_request"": true, ""generation_requested"": true, ""journal_generated"": true, ""journal_saved"": true, ""privacy_notice_seen"": true, ""selected_count"": 4, ""unselected_count"": 0}","{""correct_count"": 1, ""processor_correct"": true, ""selected_data_correct"": false, ""sent_already_correct"": false, ""total_count"": 3}"
P02,source-editing,R5|R12,40825,issue,"{""completed"": true, ""duration_ms"": 40825, ""journal_saved"": true, ""paragraph_edited"": true, ""task_success"": false}",{}
P02,retention-deletion,R8|R14,8922,critical,"{""blocks_remained"": true, ""completed"": true, ""duration_ms"": 8922, ""generated_entry_removed"": true, ""journal_deleted"": true, ""save_blocks_only_done"": true, ""save_entry_done"": true}","{""delete_scope_correct"": false, ""retention_state_correct"": true}"
P03,quick-capture,R1|R9,45401,issue,"{""completed"": true, ""duration_ms"": 29334, ""within_5s"": false}","{""expected_behavior_correct"": true}"
P03,optional-structure,R2|R13,132718,issue,"{""answered_count"": 2, ""completed"": true, ""duration_ms"": 132718, ""task_success"": false, ""workspace_saved"": true}",{}
P03,persistent-default,R3,66161,pass,"{""completed"": true, ""duration_ms"": 66161, ""first_entry_starter_count"": 3, ""preference_changed"": true, ""second_entry_starter_count"": 3}","{""expected_behavior_correct"": true}"
P03,blank-writing,R6,64480,pass,"{""blank_saved"": true, ""completed"": true, ""duration_ms"": 64480}",{}
P03,generation-boundary,R4|R7|R10,177991,critical,"{""completed"": true, ""duration_ms"": 177991, ""generated_after_request"": true, ""generation_requested"": true, ""help_count"": 1, ""journal_generated"": true, ""journal_saved"": true, ""privacy_notice_seen"": true, ""selected_count"": 3, ""unselected_count"": 0}","{""correct_count"": 2, ""processor_correct"": true, ""selected_data_correct"": true, ""sent_already_correct"": false, ""total_count"": 3}"
P03,source-editing,R5|R12,20325,issue,"{""completed"": true, ""duration_ms"": 20325, ""source_inspected"": true, ""task_success"": false}","{""source_checkpoint_answered"": true, ""source_meaning_correct"": true}"
P03,retention-deletion,R8|R14,27720,issue,"{""completed"": true, ""duration_ms"": 27720, ""task_success"": false}",{}
P04,quick-capture,R1|R9,18343,issue,"{""completed"": true, ""duration_ms"": 13347, ""within_5s"": false}","{""expected_behavior_correct"": false}"
P04,optional-structure,R2|R13,108307,issue,"{""answered_count"": 3, ""completed"": true, ""custom_block_added"": true, ""duration_ms"": 108307, ""help_count"": 1, ""task_success"": false, ""workspace_saved"": true}",{}
P04,persistent-default,R3,50509,pass,"{""completed"": true, ""duration_ms"": 50509, ""first_entry_starter_count"": 3, ""preference_changed"": true, ""second_entry_starter_count"": 3}","{""expected_behavior_correct"": true}"
P04,blank-writing,R6,72771,pass,"{""blank_saved"": true, ""completed"": true, ""duration_ms"": 72771}",{}
P04,generation-boundary,R4|R7|R10,18937,critical,"{""completed"": true, ""duration_ms"": 18937, ""generated_after_request"": true, ""generation_requested"": true, ""journal_generated"": true, ""journal_saved"": true, ""privacy_notice_seen"": true, ""selected_count"": 3, ""unselected_count"": 0}","{""correct_count"": 0, ""processor_correct"": false, ""selected_data_correct"": false, ""sent_already_correct"": false, ""total_count"": 3}"
P04,source-editing,R5|R12,15718,issue,"{""completed"": true, ""duration_ms"": 15718, ""task_success"": false}",{}
P04,retention-deletion,R8|R14,4065,issue,"{""completed"": true, ""duration_ms"": 4065, ""task_success"": false}",{}
P05,quick-capture,R1|R9,17464,issue,"{""completed"": true, ""duration_ms"": 15257, ""within_5s"": false}","{""expected_behavior_correct"": false}"
P05,optional-structure,R2|R13,46148,issue,"{""answered_count"": 3, ""completed"": true, ""duration_ms"": 46148, ""task_success"": false, ""workspace_saved"": true}",{}
P05,persistent-default,R3,24657,pass,"{""completed"": true, ""duration_ms"": 24657, ""first_entry_starter_count"": 3, ""second_entry_starter_count"": 3}","{""expected_behavior_correct"": true}"
P05,blank-writing,R6,28864,pass,"{""blank_saved"": true, ""completed"": true, ""duration_ms"": 28864}",{}
P05,generation-boundary,R4|R7|R10,36101,critical,"{""completed"": true, ""duration_ms"": 36101, ""generated_after_request"": true, ""generation_requested"": true, ""journal_generated"": true, ""journal_saved"": true, ""privacy_notice_seen"": true, ""selected_count"": 3, ""unselected_count"": 0}","{""correct_count"": 1, ""processor_correct"": true, ""selected_data_correct"": false, ""sent_already_correct"": false, ""total_count"": 3}"
P05,source-editing,R5|R12,8985,issue,"{""completed"": true, ""duration_ms"": 8985, ""source_inspected"": true, ""task_success"": false}","{""source_checkpoint_answered"": true, ""source_meaning_correct"": false}"
P05,retention-deletion,R8|R14,4206,issue,"{""completed"": true, ""duration_ms"": 4206, ""task_success"": false}",{}
P06,quick-capture,R1|R9,19344,issue,"{""completed"": true, ""duration_ms"": 14933, ""within_5s"": false}","{""expected_behavior_correct"": false}"
P06,optional-structure,R2|R13,39203,issue,"{""answered_count"": 3, ""completed"": true, ""duration_ms"": 39203, ""task_success"": false, ""workspace_saved"": true}",{}
P06,persistent-default,R3,46685,issue,"{""completed"": true, ""duration_ms"": 46685, ""first_entry_starter_count"": 3, ""second_entry_starter_count"": 3}","{""expected_behavior_correct"": false}"
P06,blank-writing,R6,28945,pass,"{""blank_saved"": true, ""completed"": true, ""duration_ms"": 28945}",{}
P06,generation-boundary,R4|R7|R10,18633,critical,"{""completed"": true, ""duration_ms"": 18633, ""generated_after_request"": true, ""generation_requested"": true, ""journal_generated"": true, ""journal_saved"": true, ""privacy_notice_seen"": true, ""selected_count"": 3, ""unselected_count"": 0}","{""correct_count"": 1, ""processor_correct"": true, ""selected_data_correct"": false, ""sent_already_correct"": false, ""total_count"": 3}"
P06,source-editing,R5|R12,11992,issue,"{""completed"": true, ""duration_ms"": 11992, ""source_inspected"": true, ""task_success"": false}","{""source_checkpoint_answered"": true, ""source_meaning_correct"": false}"
P06,retention-deletion,R8|R14,3752,issue,"{""completed"": true, ""duration_ms"": 3752, ""task_success"": false}",{}
P07,quick-capture,R1|R9,11717,issue,"{""completed"": true, ""duration_ms"": 9123, ""within_5s"": false}","{""expected_behavior_correct"": true}"
P07,optional-structure,R2|R13,40999,issue,"{""answered_count"": 3, ""completed"": true, ""duration_ms"": 40999, ""task_success"": false, ""workspace_saved"": true}",{}
P07,persistent-default,R3,25137,issue,"{""completed"": true, ""duration_ms"": 25137, ""first_entry_starter_count"": 3, ""second_entry_starter_count"": 3}","{""expected_behavior_correct"": false}"
P07,blank-writing,R6,36337,pass,"{""blank_saved"": true, ""completed"": true, ""duration_ms"": 36337}",{}
P07,generation-boundary,R4|R7|R10,15248,critical,"{""completed"": true, ""duration_ms"": 15248, ""generated_after_request"": true, ""generation_requested"": true, ""journal_generated"": true, ""journal_saved"": true, ""privacy_notice_seen"": true, ""selected_count"": 3, ""unselected_count"": 0}","{""correct_count"": 0, ""processor_correct"": false, ""selected_data_correct"": false, ""sent_already_correct"": false, ""total_count"": 3}"
P07,source-editing,R5|R12,8899,issue,"{""completed"": true, ""duration_ms"": 8899, ""source_inspected"": true, ""task_success"": false}","{""source_checkpoint_answered"": true, ""source_meaning_correct"": true}"
P07,retention-deletion,R8|R14,1725,issue,"{""completed"": true, ""duration_ms"": 1725, ""task_success"": false}",{}
P08,quick-capture,R1|R9,9200,pass,"{""age_45_plus"": false, ""completed"": true, ""duration_ms"": 9200, ""error_count"": 0, ""help_count"": 0, ""within_5s"": true}","{""expected_behavior_correct"": true}"
P08,optional-structure,R2|R13,61400,pass,"{""answered_count"": 4, ""completed"": true, ""custom_block_added"": true, ""dismissed_block"": true, ""duration_ms"": 61400, ""help_count"": 0, ""question_edited"": true, ""reordered"": true, ""workspace_saved"": true}",{}
P08,persistent-default,R3,31500,pass,"{""completed"": true, ""duration_ms"": 31500, ""first_entry_starter_count"": 3, ""preference_changed"": true, ""second_entry_starter_count"": 3}","{""expected_behavior_correct"": true}"
P08,blank-writing,R6,24800,pass,"{""blank_saved"": true, ""completed"": true, ""duration_ms"": 24800}",{}
P08,generation-boundary,R4|R7|R10,44300,pass,"{""completed"": true, ""duration_ms"": 44300, ""generated_after_request"": true, ""generation_requested"": true, ""journal_generated"": true, ""journal_saved"": true, ""privacy_notice_seen"": true, ""selected_count"": 3, ""unselected_count"": 2}","{""correct_count"": 3, ""processor_correct"": true, ""selected_data_correct"": true, ""sent_already_correct"": true, ""total_count"": 3}"
P08,source-editing,R5|R12,33600,pass,"{""completed"": true, ""duration_ms"": 33600, ""help_count"": 0, ""journal_saved"": true, ""paragraph_edited"": true, ""source_inspected"": true}","{""source_checkpoint_answered"": true, ""source_meaning_correct"": true}"
P08,retention-deletion,R8|R14,52700,pass,"{""blocks_remained"": true, ""completed"": true, ""duration_ms"": 52700, ""exported"": true, ""generated_entry_removed"": true, ""journal_deleted"": true, ""save_blocks_only_done"": true, ""save_entry_done"": true, ""save_nothing_used"": true}","{""delete_scope_correct"": true, ""retention_state_correct"": true}"
P09,quick-capture,R1|R9,48600,issue,"{""age_45_plus"": true, ""completed"": true, ""duration_ms"": 48600, ""error_count"": 3, ""help_count"": 2, ""within_5s"": false}","{""expected_behavior_correct"": false}"
P09,optional-structure,R2|R13,214800,issue,"{""answered_count"": 2, ""completed"": true, ""custom_block_added"": false, ""dismissed_block"": false, ""duration_ms"": 214800, ""help_count"": 3, ""question_edited"": false, ""reordered"": false, ""workspace_saved"": true}",{}
P09,persistent-default,R3,96400,issue,"{""completed"": true, ""duration_ms"": 96400, ""first_entry_starter_count"": 3, ""help_count"": 1, ""preference_changed"": true, ""second_entry_starter_count"": 3}","{""expected_behavior_correct"": false}"
P09,blank-writing,R6,88200,pass,"{""blank_saved"": true, ""completed"": true, ""duration_ms"": 88200, ""help_count"": 1}",{}
P09,generation-boundary,R4|R7|R10,132500,critical,"{""completed"": true, ""duration_ms"": 132500, ""generated_after_request"": true, ""generation_requested"": true, ""help_count"": 2, ""journal_generated"": true, ""journal_saved"": true, ""privacy_notice_seen"": true, ""selected_count"": 2, ""unselected_count"": 0}","{""correct_count"": 0, ""processor_correct"": false, ""selected_data_correct"": false, ""sent_already_correct"": false, ""total_count"": 3}"
P09,source-editing,R5|R12,118900,issue,"{""completed"": true, ""duration_ms"": 118900, ""help_count"": 2, ""journal_saved"": false, ""paragraph_edited"": false, ""source_inspected"": true}","{""source_checkpoint_answered"": true, ""source_meaning_correct"": false}"
P09,retention-deletion,R8|R14,104300,critical,"{""blocks_remained"": true, ""completed"": true, ""duration_ms"": 104300, ""exported"": false, ""generated_entry_removed"": true, ""help_count"": 2, ""journal_deleted"": true, ""save_blocks_only_done"": true, ""save_entry_done"": false, ""save_nothing_used"": false}","{""delete_scope_correct"": false, ""retention_state_correct"": false}"
P10,quick-capture,R1|R9,19400,issue,"{""age_45_plus"": true, ""completed"": true, ""duration_ms"": 19400, ""error_count"": 1, ""help_count"": 0, ""within_5s"": false}","{""expected_behavior_correct"": true}"
P10,optional-structure,R2|R13,118600,issue,"{""answered_count"": 3, ""completed"": true, ""custom_block_added"": true, ""dismissed_block"": true, ""duration_ms"": 118600, ""help_count"": 0, ""question_edited"": true, ""reordered"": false, ""workspace_saved"": true}",{}
P10,persistent-default,R3,52300,pass,"{""completed"": true, ""duration_ms"": 52300, ""first_entry_starter_count"": 3, ""preference_changed"": true, ""second_entry_starter_count"": 3}","{""expected_behavior_correct"": true}"
P10,blank-writing,R6,41700,pass,"{""blank_saved"": true, ""completed"": true, ""duration_ms"": 41700}",{}
P10,generation-boundary,R4|R7|R10,74900,critical,"{""completed"": true, ""duration_ms"": 74900, ""generated_after_request"": true, ""generation_requested"": true, ""help_count"": 1, ""journal_generated"": true, ""journal_saved"": true, ""privacy_notice_seen"": true, ""selected_count"": 3, ""unselected_count"": 1}","{""correct_count"": 2, ""processor_correct"": true, ""selected_data_correct"": false, ""sent_already_correct"": true, ""total_count"": 3}"
P10,source-editing,R5|R12,63200,pass,"{""completed"": true, ""duration_ms"": 63200, ""help_count"": 0, ""journal_saved"": true, ""paragraph_edited"": true, ""source_inspected"": true}","{""source_checkpoint_answered"": true, ""source_meaning_correct"": true}"
P10,retention-deletion,R8|R14,68500,pass,"{""blocks_remained"": true, ""completed"": true, ""duration_ms"": 68500, ""exported"": true, ""generated_entry_removed"": true, ""help_count"": 1, ""journal_deleted"": true, ""save_blocks_only_done"": true, ""save_entry_done"": true, ""save_nothing_used"": true}","{""delete_scope_correct"": true, ""retention_state_correct"": true}"
P11,quick-capture,R1|R9,16800,issue,"{""age_45_plus"": false, ""completed"": true, ""duration_ms"": 16800, ""error_count"": 0, ""help_count"": 0, ""within_5s"": false}","{""expected_behavior_correct"": true}"
P11,optional-structure,R2|R13,96200,pass,"{""answered_count"": 2, ""completed"": true, ""custom_block_added"": true, ""dismissed_block"": true, ""duration_ms"": 96200, ""help_count"": 0, ""question_edited"": true, ""reordered"": true, ""workspace_saved"": true}",{}
P11,persistent-default,R3,44100,pass,"{""completed"": true, ""duration_ms"": 44100, ""first_entry_starter_count"": 3, ""preference_changed"": true, ""second_entry_starter_count"": 3}","{""expected_behavior_correct"": true}"
P11,blank-writing,R6,152400,pass,"{""blank_saved"": true, ""completed"": true, ""duration_ms"": 152400}",{}
P11,generation-boundary,R4|R7|R10,87300,issue,"{""completed"": true, ""duration_ms"": 87300, ""generated_after_request"": false, ""generation_requested"": false, ""help_count"": 0, ""journal_generated"": false, ""journal_saved"": false, ""privacy_notice_seen"": true, ""selected_count"": 1, ""unselected_count"": 4}","{""correct_count"": 3, ""processor_correct"": true, ""selected_data_correct"": true, ""sent_already_correct"": true, ""total_count"": 3}"
P11,source-editing,R5|R12,28500,issue,"{""completed"": true, ""duration_ms"": 28500, ""help_count"": 0, ""journal_saved"": false, ""paragraph_edited"": false, ""source_inspected"": false}",{}
P11,retention-deletion,R8|R14,71600,issue,"{""blocks_remained"": true, ""completed"": true, ""duration_ms"": 71600, ""exported"": true, ""generated_entry_removed"": false, ""help_count"": 0, ""journal_deleted"": false, ""save_blocks_only_done"": true, ""save_entry_done"": false, ""save_nothing_used"": true}","{""delete_scope_correct"": true, ""retention_state_correct"": true}"
P12,quick-capture,R1|R9,8100,pass,"{""age_45_plus"": false, ""completed"": true, ""duration_ms"": 8100, ""error_count"": 0, ""help_count"": 0, ""within_5s"": true}","{""expected_behavior_correct"": true}"
P12,optional-structure,R2|R13,47300,issue,"{""answered_count"": 5, ""completed"": true, ""custom_block_added"": false, ""dismissed_block"": true, ""duration_ms"": 47300, ""help_count"": 0, ""question_edited"": false, ""reordered"": false, ""workspace_saved"": true}",{}
P12,persistent-default,R3,26800,issue,"{""completed"": true, ""duration_ms"": 26800, ""first_entry_starter_count"": 3, ""preference_changed"": true, ""second_entry_starter_count"": 3}","{""expected_behavior_correct"": false}"
P12,blank-writing,R6,18900,pass,"{""blank_saved"": true, ""completed"": true, ""duration_ms"": 18900}",{}
P12,generation-boundary,R4|R7|R10,21400,critical,"{""completed"": true, ""duration_ms"": 21400, ""generated_after_request"": true, ""generation_requested"": true, ""help_count"": 0, ""journal_generated"": true, ""journal_saved"": true, ""privacy_notice_seen"": true, ""selected_count"": 5, ""unselected_count"": 0}","{""correct_count"": 1, ""processor_correct"": true, ""selected_data_correct"": false, ""sent_already_correct"": false, ""total_count"": 3}"
P12,source-editing,R5|R12,14600,issue,"{""completed"": true, ""duration_ms"": 14600, ""help_count"": 0, ""journal_saved"": true, ""paragraph_edited"": false, ""source_inspected"": false}","{""source_checkpoint_answered"": true, ""source_meaning_correct"": false}"
P12,retention-deletion,R8|R14,33100,critical,"{""blocks_remained"": true, ""completed"": true, ""duration_ms"": 33100, ""exported"": true, ""generated_entry_removed"": true, ""help_count"": 0, ""journal_deleted"": true, ""save_blocks_only_done"": false, ""save_entry_done"": true, ""save_nothing_used"": false}","{""delete_scope_correct"": true, ""retention_state_correct"": false}"
P13,quick-capture,R1|R9,22700,issue,"{""age_45_plus"": true, ""completed"": true, ""duration_ms"": 22700, ""error_count"": 1, ""help_count"": 0, ""within_5s"": false}","{""expected_behavior_correct"": true}"
P13,optional-structure,R2|R13,141500,pass,"{""answered_count"": 1, ""completed"": true, ""custom_block_added"": true, ""dismissed_block"": true, ""duration_ms"": 141500, ""help_count"": 0, ""question_edited"": true, ""reordered"": true, ""workspace_saved"": true}",{}
P13,persistent-default,R3,61900,pass,"{""completed"": true, ""duration_ms"": 61900, ""first_entry_starter_count"": 3, ""preference_changed"": true, ""second_entry_starter_count"": 3}","{""expected_behavior_correct"": true}"
P13,blank-writing,R6,198300,pass,"{""blank_saved"": true, ""completed"": true, ""duration_ms"": 198300}",{}
P13,generation-boundary,R4|R7|R10,104700,critical,"{""completed"": true, ""duration_ms"": 104700, ""generated_after_request"": true, ""generation_requested"": true, ""help_count"": 1, ""journal_generated"": true, ""journal_saved"": false, ""privacy_notice_seen"": true, ""selected_count"": 1, ""unselected_count"": 1}","{""correct_count"": 1, ""processor_correct"": false, ""selected_data_correct"": false, ""sent_already_correct"": true, ""total_count"": 3}"
P13,source-editing,R5|R12,82400,pass,"{""completed"": true, ""duration_ms"": 82400, ""help_count"": 1, ""journal_saved"": true, ""paragraph_edited"": true, ""source_inspected"": true}","{""source_checkpoint_answered"": true, ""source_meaning_correct"": true}"
P13,retention-deletion,R8|R14,89200,pass,"{""blocks_remained"": true, ""completed"": true, ""duration_ms"": 89200, ""exported"": true, ""generated_entry_removed"": true, ""help_count"": 1, ""journal_deleted"": true, ""save_blocks_only_done"": true, ""save_entry_done"": true, ""save_nothing_used"": true}","{""delete_scope_correct"": true, ""retention_state_correct"": true}"
P14,quick-capture,R1|R9,14200,issue,"{""age_45_plus"": false, ""completed"": true, ""duration_ms"": 14200, ""error_count"": 0, ""help_count"": 0, ""within_5s"": false}","{""expected_behavior_correct"": true}"
P14,optional-structure,R2|R13,167300,issue,"{""answered_count"": 2, ""completed"": true, ""custom_block_added"": false, ""dismissed_block"": true, ""duration_ms"": 167300, ""help_count"": 2, ""question_edited"": true, ""reordered"": false, ""workspace_saved"": true}",{}
P14,persistent-default,R3,58400,pass,"{""completed"": true, ""duration_ms"": 58400, ""first_entry_starter_count"": 3, ""preference_changed"": true, ""second_entry_starter_count"": 3}","{""expected_behavior_correct"": true}"
P14,blank-writing,R6,96500,pass,"{""blank_saved"": true, ""completed"": true, ""duration_ms"": 96500}",{}
P14,generation-boundary,R4|R7|R10,71800,critical,"{""completed"": true, ""duration_ms"": 71800, ""generated_after_request"": true, ""generation_requested"": true, ""help_count"": 1, ""journal_generated"": true, ""journal_saved"": true, ""privacy_notice_seen"": true, ""selected_count"": 2, ""unselected_count"": 1}","{""correct_count"": 1, ""processor_correct"": true, ""selected_data_correct"": false, ""sent_already_correct"": false, ""total_count"": 3}"
P14,source-editing,R5|R12,88600,pass,"{""completed"": true, ""duration_ms"": 88600, ""help_count"": 1, ""journal_saved"": true, ""paragraph_edited"": true, ""source_inspected"": true}","{""source_checkpoint_answered"": true, ""source_meaning_correct"": true}"
P14,retention-deletion,R8|R14,79400,pass,"{""blocks_remained"": true, ""completed"": true, ""duration_ms"": 79400, ""exported"": true, ""generated_entry_removed"": true, ""help_count"": 1, ""journal_deleted"": true, ""save_blocks_only_done"": true, ""save_entry_done"": true, ""save_nothing_used"": true}","{""delete_scope_correct"": true, ""retention_state_correct"": true}"
P15,quick-capture,R1|R9,13900,issue,"{""age_45_plus"": true, ""completed"": true, ""duration_ms"": 13900, ""error_count"": 0, ""help_count"": 0, ""within_5s"": false}","{""expected_behavior_correct"": true}"
P15,optional-structure,R2|R13,184600,issue,"{""answered_count"": 3, ""completed"": true, ""custom_block_added"": true, ""dismissed_block"": true, ""duration_ms"": 184600, ""help_count"": 1, ""question_edited"": true, ""reordered"": true, ""workspace_saved"": true}",{}
P15,persistent-default,R3,49800,pass,"{""completed"": true, ""duration_ms"": 49800, ""first_entry_starter_count"": 3, ""preference_changed"": true, ""second_entry_starter_count"": 3}","{""expected_behavior_correct"": true}"
P15,blank-writing,R6,118200,pass,"{""blank_saved"": true, ""completed"": true, ""duration_ms"": 118200}",{}
P15,generation-boundary,R4|R7|R10,94300,pass,"{""completed"": true, ""duration_ms"": 94300, ""generated_after_request"": true, ""generation_requested"": true, ""help_count"": 0, ""journal_generated"": true, ""journal_saved"": true, ""privacy_notice_seen"": true, ""selected_count"": 2, ""unselected_count"": 1}","{""correct_count"": 3, ""processor_correct"": true, ""selected_data_correct"": true, ""sent_already_correct"": true, ""total_count"": 3}"
P15,source-editing,R5|R12,76400,pass,"{""completed"": true, ""duration_ms"": 76400, ""help_count"": 0, ""journal_saved"": true, ""paragraph_edited"": true, ""source_inspected"": true}","{""source_checkpoint_answered"": true, ""source_meaning_correct"": true}"
P15,retention-deletion,R8|R14,83100,pass,"{""blocks_remained"": true, ""completed"": true, ""duration_ms"": 83100, ""exported"": true, ""generated_entry_removed"": true, ""help_count"": 0, ""journal_deleted"": true, ""save_blocks_only_done"": true, ""save_entry_done"": true, ""save_nothing_used"": true}","{""delete_scope_correct"": true, ""retention_state_correct"": true}"
P16,quick-capture,R1|R9,7300,pass,"{""age_45_plus"": false, ""completed"": true, ""duration_ms"": 7300, ""error_count"": 0, ""help_count"": 0, ""within_5s"": true}","{""expected_behavior_correct"": false}"
P16,optional-structure,R2|R13,28900,issue,"{""answered_count"": 1, ""completed"": true, ""custom_block_added"": false, ""dismissed_block"": false, ""duration_ms"": 28900, ""help_count"": 0, ""question_edited"": false, ""reordered"": false, ""workspace_saved"": true}",{}
P16,persistent-default,R3,16400,issue,"{""completed"": true, ""duration_ms"": 16400, ""first_entry_starter_count"": 3, ""preference_changed"": true, ""second_entry_starter_count"": 3}","{""expected_behavior_correct"": false}"
P16,blank-writing,R6,11200,pass,"{""blank_saved"": true, ""completed"": true, ""duration_ms"": 11200}",{}
P16,generation-boundary,R4|R7|R10,15800,critical,"{""completed"": true, ""duration_ms"": 15800, ""generated_after_request"": true, ""generation_requested"": true, ""help_count"": 0, ""journal_generated"": true, ""journal_saved"": true, ""privacy_notice_seen"": true, ""selected_count"": 1, ""unselected_count"": 0}","{""correct_count"": 0, ""processor_correct"": false, ""selected_data_correct"": false, ""sent_already_correct"": false, ""total_count"": 3}"
P16,source-editing,R5|R12,9600,issue,"{""completed"": true, ""duration_ms"": 9600, ""help_count"": 0, ""journal_saved"": true, ""paragraph_edited"": false, ""source_inspected"": false}","{""source_checkpoint_answered"": true, ""source_meaning_correct"": false}"
P16,retention-deletion,R8|R14,12100,critical,"{""blocks_remained"": true, ""completed"": true, ""duration_ms"": 12100, ""exported"": false, ""generated_entry_removed"": true, ""help_count"": 0, ""journal_deleted"": true, ""save_blocks_only_done"": false, ""save_entry_done"": true, ""save_nothing_used"": false}","{""delete_scope_correct"": false, ""retention_state_correct"": false}"
P17,quick-capture,R1|R9,41200,issue,"{""age_45_plus"": true, ""completed"": true, ""duration_ms"": 41200, ""error_count"": 2, ""help_count"": 2, ""within_5s"": false}","{""expected_behavior_correct"": false}"
P17,optional-structure,R2|R13,238400,issue,"{""answered_count"": 1, ""completed"": true, ""custom_block_added"": false, ""dismissed_block"": false, ""duration_ms"": 238400, ""help_count"": 4, ""question_edited"": false, ""reordered"": false, ""workspace_saved"": true}",{}
P17,persistent-default,R3,102700,issue,"{""completed"": true, ""duration_ms"": 102700, ""first_entry_starter_count"": 0, ""help_count"": 3, ""preference_changed"": false, ""second_entry_starter_count"": 0}","{""expected_behavior_correct"": false}"
P18,quick-capture,R1|R9,15600,issue,"{""age_45_plus"": false, ""completed"": true, ""duration_ms"": 15600, ""error_count"": 0, ""help_count"": 0, ""within_5s"": false}","{""expected_behavior_correct"": true}"
P18,optional-structure,R2|R13,103400,pass,"{""answered_count"": 3, ""completed"": true, ""custom_block_added"": true, ""dismissed_block"": true, ""duration_ms"": 103400, ""help_count"": 0, ""question_edited"": true, ""reordered"": true, ""workspace_saved"": true}",{}
P18,persistent-default,R3,47200,pass,"{""completed"": true, ""duration_ms"": 47200, ""first_entry_starter_count"": 3, ""preference_changed"": true, ""second_entry_starter_count"": 3}","{""expected_behavior_correct"": true}"
P18,blank-writing,R6,52900,pass,"{""blank_saved"": true, ""completed"": true, ""duration_ms"": 52900}",{}
P18,generation-boundary,R4|R7|R10,68100,critical,"{""completed"": true, ""duration_ms"": 68100, ""generated_after_request"": true, ""generation_requested"": true, ""help_count"": 0, ""journal_generated"": true, ""journal_saved"": true, ""privacy_notice_seen"": true, ""selected_count"": 2, ""unselected_count"": 1}","{""correct_count"": 2, ""processor_correct"": false, ""selected_data_correct"": true, ""sent_already_correct"": true, ""total_count"": 3}"
P18,source-editing,R5|R12,59300,pass,"{""completed"": true, ""duration_ms"": 59300, ""help_count"": 0, ""journal_saved"": true, ""paragraph_edited"": true, ""source_inspected"": true}","{""source_checkpoint_answered"": true, ""source_meaning_correct"": true}"
P18,retention-deletion,R8|R14,64800,pass,"{""blocks_remained"": true, ""completed"": true, ""duration_ms"": 64800, ""exported"": true, ""generated_entry_removed"": true, ""help_count"": 0, ""journal_deleted"": true, ""save_blocks_only_done"": true, ""save_entry_done"": true, ""save_nothing_used"": true}","{""delete_scope_correct"": true, ""retention_state_correct"": true}"
