participant,seq,event_type,seconds_from_start,metadata_json
P02,18,quick_capture_timed,193,"{""char_count"": 40, ""duration_ms"": 12386, ""success"": true, ""task_id"": ""persistent-default""}"
P02,19,free_writing_created,231,"{""char_count"": 93, ""task_id"": ""blank-writing""}"
P02,20,block_added,271,"{""block_count"": 4, ""category"": ""situation"", ""task_id"": ""generation-boundary""}"
P02,21,connection_created,275,"{""connection_count"": 3, ""relation_type"": ""related_to"", ""requirement_id"": ""R15"", ""task_id"": ""generation-boundary""}"
P02,22,workspace_saved,289,"{""answered_count"": 4, ""block_count"": 4, ""connection_count"": 3, ""task_id"": ""generation-boundary""}"
P02,23,generation_privacy_notice_shown,293,"{""requirement_id"": ""R10"", ""selected_count"": 4, ""source_count"": 4, ""task_id"": ""generation-boundary"", ""unselected_count"": 0}"
P02,24,journal_generated,303,"{""source_count"": 4, ""success"": true, ""task_id"": ""generation-boundary""}"
P02,25,journal_generation_started,303,"{""requirement_id"": ""R4"", ""selected_count"": 4, ""source_count"": 4, ""task_id"": ""generation-boundary"", ""unselected_count"": 0}"
P02,26,journal_saved,306,"{""source_count"": 5, ""task_id"": ""generation-boundary""}"
P02,27,journal_paragraph_edited,347,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""source-editing""}"
P02,28,journal_paragraph_edited,352,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""source-editing""}"
P02,29,journal_paragraph_edited,354,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""source-editing""}"
P02,30,journal_saved,355,"{""source_count"": 5, ""task_id"": ""source-editing""}"
P02,31,delete_action,380,"{""action"": ""generated_journal"", ""task_id"": ""retention-deletion""}"
P02,32,screen_view,409,"{""screen"": ""evaluation""}"
P02,33,evaluation_requirement_saved,464,"{""requirement_id"": ""R3"", ""success"": true}"
P02,34,evaluation_requirement_saved,465,"{""requirement_id"": ""R2"", ""success"": true}"
P02,35,evaluation_requirement_saved,466,"{""requirement_id"": ""R1"", ""success"": true}"
P02,36,evaluation_requirement_saved,475,"{""requirement_id"": ""R4"", ""success"": true}"
P02,37,evaluation_requirement_saved,481,"{""requirement_id"": ""R5"", ""success"": true}"
P02,38,evaluation_requirement_saved,487,"{""requirement_id"": ""R6"", ""success"": true}"
P02,39,evaluation_requirement_saved,500,"{""requirement_id"": ""R7"", ""success"": true}"
P02,40,evaluation_requirement_saved,506,"{""requirement_id"": ""R8"", ""success"": true}"
P02,41,evaluation_requirement_saved,516,"{""requirement_id"": ""R9"", ""success"": true}"
P02,42,evaluation_requirement_saved,520,"{""requirement_id"": ""R10"", ""success"": true}"
P02,43,evaluation_requirement_saved,635,"{""requirement_id"": ""R11"", ""success"": true}"
P02,44,evaluation_requirement_saved,649,"{""requirement_id"": ""R13"", ""success"": true}"
P02,45,evaluation_requirement_saved,657,"{""requirement_id"": ""R14"", ""success"": true}"
P02,46,evaluation_requirement_saved,663,"{""requirement_id"": ""R15"", ""success"": true}"
P02,47,evaluation_requirement_saved,688,"{""requirement_id"": ""R16"", ""success"": true}"
P02,48,evaluation_requirement_saved,695,"{""requirement_id"": ""R17"", ""success"": true}"
P02,49,evaluation_requirement_saved,702,"{""requirement_id"": ""R18"", ""success"": true}"
P02,50,evaluation_completed,795,"{""success"": true}"
P03,1,evaluation_started,0,"{""screen"": ""evaluation""}"
P03,2,screen_view,0,"{""screen"": ""participant-evaluation""}"
P03,3,quick_capture_screen_shown,4,"{""requirement_id"": ""R1"", ""task_id"": ""quick-capture""}"
P03,4,quick_capture_screen_shown,4,"{""requirement_id"": ""R1"", ""task_id"": ""quick-capture""}"
P03,5,quick_capture_timed,33,"{""char_count"": 25, ""duration_ms"": 29334, ""requirement_id"": ""R1"", ""success"": true, ""task_id"": ""quick-capture""}"
P03,6,block_added,82,"{""block_count"": 1, ""category"": ""situation"", ""task_id"": ""optional-structure""}"
P03,7,block_added,145,"{""block_count"": 2, ""category"": ""situation"", ""task_id"": ""optional-structure""}"
P03,8,connection_created,154,"{""connection_count"": 1, ""relation_type"": ""related_to"", ""requirement_id"": ""R15"", ""task_id"": ""optional-structure""}"
P03,9,workspace_saved,204,"{""answered_count"": 2, ""block_count"": 2, ""connection_count"": 1, ""task_id"": ""optional-structure""}"
P03,10,prompt_default_changed,240,"{""action"": ""starter"", ""requirement_id"": ""R3"", ""success"": true, ""task_id"": ""persistent-default""}"
P03,11,quick_capture_screen_shown,248,"{""task_id"": ""persistent-default""}"
P03,12,quick_capture_screen_shown,248,"{""task_id"": ""persistent-default""}"
P03,13,quick_capture_timed,267,"{""char_count"": 25, ""duration_ms"": 18877, ""success"": true, ""task_id"": ""persistent-default""}"
P03,14,quick_capture_screen_shown,272,"{""task_id"": ""persistent-default""}"
P03,15,quick_capture_screen_shown,272,"{""task_id"": ""persistent-default""}"
P03,16,quick_capture_timed,291,"{""char_count"": 22, ""duration_ms"": 19168, ""success"": true, ""task_id"": ""persistent-default""}"
P03,17,free_writing_created,370,"{""char_count"": 90, ""task_id"": ""blank-writing""}"
P03,18,participant_help_requested,420,"{""help_count"": 1, ""task_id"": ""generation-boundary""}"
P03,19,block_added,444,"{""block_count"": 3, ""category"": ""situation"", ""task_id"": ""generation-boundary""}"
P03,20,connection_created,453,"{""connection_count"": 2, ""relation_type"": ""related_to"", ""requirement_id"": ""R15"", ""task_id"": ""generation-boundary""}"
P03,21,workspace_saved,475,"{""answered_count"": 3, ""block_count"": 3, ""connection_count"": 2, ""task_id"": ""generation-boundary""}"
P03,22,custom_block_added,503,"{""block_count"": 4, ""category"": ""feelings"", ""requirement_id"": ""R13"", ""task_id"": ""generation-boundary""}"
P03,23,block_dismissed,527,"{""requirement_id"": ""R2"", ""success"": true, ""task_id"": ""generation-boundary"", ""was_answered"": false}"
P03,24,workspace_saved,551,"{""answered_count"": 3, ""block_count"": 3, ""connection_count"": 2, ""task_id"": ""generation-boundary""}"
P03,25,generation_privacy_notice_shown,556,"{""requirement_id"": ""R10"", ""selected_count"": 3, ""source_count"": 3, ""task_id"": ""generation-boundary"", ""unselected_count"": 0}"
P03,26,journal_generated,572,"{""source_count"": 3, ""success"": true, ""task_id"": ""generation-boundary""}"
P03,27,journal_generation_started,572,"{""requirement_id"": ""R4"", ""selected_count"": 3, ""source_count"": 3, ""task_id"": ""generation-boundary"", ""unselected_count"": 0}"
P03,28,journal_saved,576,"{""source_count"": 4, ""task_id"": ""generation-boundary""}"
P03,29,journal_source_inspected,608,"{""requirement_id"": ""R5"", ""success"": true, ""task_id"": ""source-editing""}"
P03,30,journal_paragraph_edited,668,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,31,journal_paragraph_edited,669,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,32,journal_paragraph_edited,669,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,33,journal_paragraph_edited,669,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,34,journal_paragraph_edited,670,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,35,journal_paragraph_edited,672,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,36,journal_paragraph_edited,672,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,37,journal_paragraph_edited,673,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,38,journal_paragraph_edited,673,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,39,journal_paragraph_edited,673,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,40,journal_paragraph_edited,674,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,41,journal_paragraph_edited,674,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,42,journal_paragraph_edited,674,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,43,journal_paragraph_edited,675,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,44,journal_paragraph_edited,676,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,45,journal_paragraph_edited,676,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,46,journal_paragraph_edited,676,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,47,journal_paragraph_edited,676,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,48,journal_paragraph_edited,676,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,49,journal_paragraph_edited,676,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,50,journal_paragraph_edited,677,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,51,journal_paragraph_edited,677,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,52,journal_paragraph_edited,677,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,53,journal_paragraph_edited,678,"{""requirement_id"": ""R12"", ""success"": true, ""task_id"": ""retention-deletion""}"
P03,54,screen_view,683,"{""screen"": ""evaluation""}"
P03,55,evaluation_requirement_saved,827,"{""requirement_id"": ""R9"", ""success"": true}"
P03,56,evaluation_requirement_saved,855,"{""requirement_id"": ""R11"", ""success"": true}"
P03,57,evaluation_requirement_saved,857,"{""requirement_id"": ""R11"", ""success"": true}"
P03,58,evaluation_requirement_saved,874,"{""requirement_id"": ""R15"", ""success"": true}"
P03,59,evaluation_requirement_saved,899,"{""requirement_id"": ""R16"", ""success"": true}"
P03,60,evaluation_requirement_saved,914,"{""requirement_id"": ""R17"", ""success"": true}"
P03,61,evaluation_requirement_saved,936,"{""requirement_id"": ""R18"", ""success"": true}"
P03,62,evaluation_governance_saved,1115,"{""requirement_id"": ""R11"", ""success"": true}"
P03,63,evaluation_completed,1216,"{""success"": true}"
P04,1,evaluation_started,0,"{""screen"": ""evaluation""}"
P04,2,screen_view,0,"{""screen"": ""participant-evaluation""}"
P04,3,quick_capture_screen_shown,2,"{""requirement_id"": ""R1"", ""task_id"": ""quick-capture""}"
P04,4,quick_capture_screen_shown,2,"{""requirement_id"": ""R1"", ""task_id"": ""quick-capture""}"
P04,5,quick_capture_timed,15,"{""char_count"": 16, ""duration_ms"": 13347, ""requirement_id"": ""R1"", ""success"": true, ""task_id"": ""quick-capture""}"
P04,6,block_added,27,"{""block_count"": 1, ""category"": ""situation"", ""task_id"": ""optional-structure""}"
P04,7,block_added,30,"{""block_count"": 2, ""category"": ""situation"", ""task_id"": ""optional-structure""}"
P04,8,connection_created,35,"{""connection_count"": 1, ""relation_type"": ""related_to"", ""requirement_id"": ""R15"", ""task_id"": ""optional-structure""}"
P04,9,custom_block_added,77,"{""block_count"": 3, ""category"": ""situation"", ""requirement_id"": ""R13"", ""task_id"": ""optional-structure""}"
P04,10,connection_created,84,"{""connection_count"": 2, ""relation_type"": ""related_to"", ""requirement_id"": ""R15"", ""task_id"": ""optional-structure""}"
P04,11,participant_help_requested,113,"{""help_count"": 1, ""task_id"": ""optional-structure""}"
P04,12,workspace_saved,126,"{""answered_count"": 3, ""block_count"": 3, ""connection_count"": 2, ""task_id"": ""optional-structure""}"
P04,13,prompt_default_changed,141,"{""action"": ""starter"", ""requirement_id"": ""R3"", ""success"": true, ""task_id"": ""persistent-default""}"
P04,14,quick_capture_screen_shown,142,"{""task_id"": ""persistent-default""}"
P04,15,quick_capture_screen_shown,142,"{""task_id"": ""persistent-default""}"
P04,16,quick_capture_timed,160,"{""char_count"": 42, ""duration_ms"": 18385, ""success"": true, ""task_id"": ""persistent-default""}"
P04,17,quick_capture_screen_shown,163,"{""task_id"": ""persistent-default""}"
P04,18,quick_capture_screen_shown,163,"{""task_id"": ""persistent-default""}"
P04,19,quick_capture_timed,189,"{""char_count"": 49, ""duration_ms"": 26507, ""success"": true, ""task_id"": ""persistent-default""}"
P04,20,free_writing_created,266,"{""char_count"": 190, ""task_id"": ""blank-writing""}"
P04,21,generation_privacy_notice_shown,280,"{""requirement_id"": ""R10"", ""selected_count"": 3, ""source_count"": 3, ""task_id"": ""generation-boundary"", ""unselected_count"": 0}"
P04,22,journal_generated,289,"{""source_count"": 3, ""success"": true, ""task_id"": ""generation-boundary""}"
P04,23,journal_generation_started,289,"{""requirement_id"": ""R4"", ""selected_count"": 3, ""source_count"": 3, ""task_id"": ""generation-boundary"", ""unselected_count"": 0}"
P04,24,journal_saved,291,"{""source_count"": 4, ""task_id"": ""generation-boundary""}"
P04,25,delete_action,303,"{""action"": ""generated_journal"", ""task_id"": ""source-editing""}"
P04,26,screen_view,320,"{""screen"": ""evaluation""}"
P04,27,evaluation_requirement_saved,325,"{""requirement_id"": ""R1"", ""success"": true}"
P04,28,evaluation_requirement_saved,338,"{""requirement_id"": ""R11"", ""success"": true}"
P04,29,evaluation_requirement_saved,344,"{""requirement_id"": ""R15"", ""success"": true}"
P04,30,evaluation_completed,483,"{""success"": true}"
P05,1,evaluation_started,0,"{""screen"": ""evaluation""}"
P05,2,screen_view,0,"{""screen"": ""participant-evaluation""}"
P05,3,quick_capture_screen_shown,2,"{""requirement_id"": ""R1"", ""task_id"": ""quick-capture""}"
P05,4,quick_capture_screen_shown,2,"{""requirement_id"": ""R1"", ""task_id"": ""quick-capture""}"
P05,5,quick_capture_timed,17,"{""char_count"": 33, ""duration_ms"": 15257, ""requirement_id"": ""R1"", ""success"": true, ""task_id"": ""quick-capture""}"
P05,6,connection_created,36,"{""connection_count"": 1, ""relation_type"": ""made_me_feel"", ""requirement_id"": ""R15"", ""task_id"": ""optional-structure""}"
P05,7,connection_created,38,"{""connection_count"": 2, ""relation_type"": ""matters_because"", ""requirement_id"": ""R15"", ""task_id"": ""optional-structure""}"
P05,8,workspace_saved,66,"{""answered_count"": 3, ""block_count"": 3, ""connection_count"": 2, ""task_id"": ""optional-structure""}"
P05,9,quick_capture_screen_shown,74,"{""task_id"": ""persistent-default""}"
P05,10,quick_capture_screen_shown,74,"{""task_id"": ""persistent-default""}"
P05,11,quick_capture_timed,84,"{""char_count"": 24, ""duration_ms"": 10761, ""success"": true, ""task_id"": ""persistent-default""}"
P05,12,quick_capture_screen_shown,87,"{""task_id"": ""persistent-default""}"
P05,13,quick_capture_screen_shown,87,"{""task_id"": ""persistent-default""}"
P05,14,quick_capture_timed,95,"{""char_count"": 11, ""duration_ms"": 8064, ""success"": true, ""task_id"": ""persistent-default""}"
P05,15,free_writing_created,127,"{""char_count"": 47, ""task_id"": ""blank-writing""}"
P05,16,generation_privacy_notice_shown,138,"{""requirement_id"": ""R10"", ""selected_count"": 3, ""source_count"": 3, ""task_id"": ""generation-boundary"", ""unselected_count"": 0}"
P05,17,journal_generation_started,162,"{""requirement_id"": ""R4"", ""selected_count"": 3, ""source_count"": 3, ""task_id"": ""generation-boundary"", ""unselected_count"": 0}"
P05,18,journal_generated,162,"{""source_count"": 3, ""success"": true, ""task_id"": ""generation-boundary""}"
P05,19,journal_saved,166,"{""source_count"": 4, ""task_id"": ""generation-boundary""}"
P05,20,journal_source_inspected,173,"{""requirement_id"": ""R5"", ""success"": true, ""task_id"": ""source-editing""}"
P05,21,screen_view,194,"{""screen"": ""evaluation""}"
P05,22,evaluation_requirement_saved,207,"{""requirement_id"": ""R11"", ""success"": true}"
P05,23,evaluation_requirement_saved,215,"{""requirement_id"": ""R15"", ""success"": true}"
P05,24,evaluation_requirement_saved,226,"{""requirement_id"": ""R16"", ""success"": true}"
P05,25,evaluation_requirement_saved,249,"{""requirement_id"": ""R17"", ""success"": true}"
P05,26,evaluation_requirement_saved,258,"{""requirement_id"": ""R18"", ""success"": true}"
P05,27,evaluation_governance_saved,337,"{""requirement_id"": ""R11"", ""success"": true}"
P05,28,evaluation_completed,386,"{""success"": true}"
P06,1,evaluation_started,0,"{""screen"": ""evaluation""}"
P06,2,screen_view,0,"{""screen"": ""participant-evaluation""}"
P06,3,quick_capture_screen_shown,1,"{""requirement_id"": ""R1"", ""task_id"": ""quick-capture""}"
P06,4,quick_capture_screen_shown,1,"{""requirement_id"": ""R1"", ""task_id"": ""quick-capture""}"
P06,5,quick_capture_timed,16,"{""char_count"": 29, ""duration_ms"": 14933, ""requirement_id"": ""R1"", ""success"": true, ""task_id"": ""quick-capture""}"
P06,6,connection_created,40,"{""connection_count"": 1, ""relation_type"": ""made_me_feel"", ""requirement_id"": ""R15"", ""task_id"": ""optional-structure""}"
P06,7,connection_created,48,"{""connection_count"": 2, ""relation_type"": ""matters_because"", ""requirement_id"": ""R15"", ""task_id"": ""optional-structure""}"
P06,8,workspace_saved,57,"{""answered_count"": 3, ""block_count"": 3, ""connection_count"": 2, ""task_id"": ""optional-structure""}"
P06,9,quick_capture_screen_shown,72,"{""task_id"": ""persistent-default""}"
P06,10,quick_capture_screen_shown,72,"{""task_id"": ""persistent-default""}"
P06,11,quick_capture_timed,88,"{""char_count"": 20, ""duration_ms"": 16059, ""success"": true, ""task_id"": ""persistent-default""}"
P06,12,quick_capture_screen_shown,92,"{""task_id"": ""persistent-default""}"
P06,13,quick_capture_screen_shown,92,"{""task_id"": ""persistent-default""}"
P06,14,quick_capture_timed,111,"{""char_count"": 26, ""duration_ms"": 19042, ""success"": true, ""task_id"": ""persistent-default""}"
P06,15,free_writing_created,143,"{""char_count"": 65, ""task_id"": ""blank-writing""}"
P06,16,generation_privacy_notice_shown,150,"{""requirement_id"": ""R10"", ""selected_count"": 3, ""source_count"": 3, ""task_id"": ""generation-boundary"", ""unselected_count"": 0}"
P06,17,journal_generation_started,163,"{""requirement_id"": ""R4"", ""selected_count"": 3, ""source_count"": 3, ""task_id"": ""generation-boundary"", ""unselected_count"": 0}"
P06,18,journal_generated,163,"{""source_count"": 3, ""success"": true, ""task_id"": ""generation-boundary""}"
P06,19,journal_saved,164,"{""source_count"": 4, ""task_id"": ""generation-boundary""}"
P06,20,journal_source_inspected,168,"{""requirement_id"": ""R5"", ""success"": true, ""task_id"": ""source-editing""}"
P06,21,screen_view,190,"{""screen"": ""evaluation""}"
P06,22,evaluation_requirement_saved,203,"{""requirement_id"": ""R11"", ""success"": true}"
P06,23,evaluation_requirement_saved,215,"{""requirement_id"": ""R15"", ""success"": true}"
P06,24,evaluation_requirement_saved,224,"{""requirement_id"": ""R16"", ""success"": true}"
P06,25,evaluation_requirement_saved,238,"{""requirement_id"": ""R17"", ""success"": true}"
P06,26,evaluation_requirement_saved,248,"{""requirement_id"": ""R18"", ""success"": true}"
P06,27,evaluation_completed,337,"{""success"": true}"
P07,1,evaluation_started,0,"{""screen"": ""evaluation""}"
P07,2,screen_view,0,"{""screen"": ""participant-evaluation""}"
P07,3,quick_capture_screen_shown,116,"{""requirement_id"": ""R1"", ""task_id"": ""quick-capture""}"
P07,4,quick_capture_screen_shown,116,"{""requirement_id"": ""R1"", ""task_id"": ""quick-capture""}"
P07,5,quick_capture_timed,125,"{""char_count"": 19, ""duration_ms"": 9123, ""requirement_id"": ""R1"", ""success"": true, ""task_id"": ""quick-capture""}"
P07,6,connection_created,164,"{""connection_count"": 1, ""relation_type"": ""made_me_feel"", ""requirement_id"": ""R15"", ""task_id"": ""optional-structure""}"
P07,7,connection_created,166,"{""connection_count"": 2, ""relation_type"": ""matters_because"", ""requirement_id"": ""R15"", ""task_id"": ""optional-structure""}"
P07,8,workspace_saved,169,"{""answered_count"": 3, ""block_count"": 3, ""connection_count"": 2, ""task_id"": ""optional-structure""}"
P07,9,quick_capture_screen_shown,177,"{""task_id"": ""persistent-default""}"
P07,10,quick_capture_screen_shown,177,"{""task_id"": ""persistent-default""}"
P07,11,quick_capture_timed,187,"{""char_count"": 22, ""duration_ms"": 10044, ""success"": true, ""task_id"": ""persistent-default""}"
P07,12,quick_capture_screen_shown,191,"{""task_id"": ""persistent-default""}"
P07,13,quick_capture_screen_shown,191,"{""task_id"": ""persistent-default""}"
